tmp/ramdisk.py - bohrium: False, size: 28, elapsed-time: 6.511829
         7139308 function calls (6692348 primitive calls) in 6.741 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    570/1    0.003    0.000    6.742    6.742 {built-in method builtins.exec}
        1    0.000    0.000    6.742    6.742 ramdisk.py:1(<module>)
        1    0.000    0.000    6.512    6.512 ramdisk.py:64(main)
        1    0.568    0.568    6.512    6.512 ramdisk.py:28(jacobi)
    50000    2.950    0.000    5.209    0.000 ramdisk.py:31(loop_body)
      500    0.003    0.000    1.708    0.003 _dill.py:334(dump_session)
      500    0.001    0.000    1.695    0.003 _dill.py:414(dump)
      500    0.001    0.000    1.690    0.003 pickle.py:474(dump)
342000/500    0.458    0.000    1.681    0.003 pickle.py:533(save)
 1500/500    0.008    0.000    1.679    0.003 _dill.py:1258(save_module)
17000/500    0.034    0.000    1.662    0.003 pickle.py:619(save_reduce)
15500/500    0.050    0.000    1.633    0.003 _dill.py:882(save_module_dict)
 9000/500    0.011    0.000    1.627    0.003 pickle.py:962(save_dict)
 9000/500    0.020    0.000    1.626    0.003 pickle.py:975(_batch_setitems)
52000/5000    0.089    0.000    1.353    0.000 pickle.py:871(save_tuple)
8500/7500    0.031    0.000    1.336    0.000 _dill.py:1381(save_function)
     6500    0.018    0.000    0.930    0.000 _dill.py:850(save_code)
3000/2000    0.009    0.000    0.913    0.000 _dill.py:1304(save_type)
    50633    0.630    0.000    0.721    0.000 {built-in method io.open}
    50000    0.029    0.000    0.528    0.000 <__array_function__ internals>:2(sum)
    50002    0.026    0.000    0.492    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    50000    0.061    0.000    0.465    0.000 fromnumeric.py:2092(sum)
    50000    0.065    0.000    0.394    0.000 fromnumeric.py:73(_wrapreduction)
    50000    0.305    0.000    0.305    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    81000    0.080    0.000    0.254    0.000 pickle.py:848(save_str)
   162000    0.150    0.000    0.246    0.000 pickle.py:489(memoize)
       15    0.001    0.000    0.245    0.016 __init__.py:1(<module>)
    262/6    0.001    0.000    0.229    0.038 <frozen importlib._bootstrap>:986(_find_and_load)
    262/6    0.001    0.000    0.229    0.038 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    244/6    0.001    0.000    0.228    0.038 <frozen importlib._bootstrap>:650(_load_unlocked)
    196/6    0.001    0.000    0.228    0.038 <frozen importlib._bootstrap_external>:777(exec_module)
    362/6    0.000    0.000    0.227    0.038 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
6357/6016    0.009    0.000    0.227    0.000 {built-in method builtins.__import__}
        4    0.000    0.000    0.195    0.049 __init__.py:2(<module>)
   536000    0.110    0.000    0.151    0.000 pickle.py:241(write)
   232/44    0.001    0.000    0.126    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
   342500    0.091    0.000    0.123    0.000 pickle.py:217(commit_frame)
    50002    0.032    0.000    0.071    0.000 _bootlocale.py:33(getpreferredencoding)
     3500    0.011    0.000    0.067    0.000 pickle.py:1053(save_global)
   734015    0.052    0.000    0.052    0.000 {built-in method builtins.id}
    54000    0.025    0.000    0.046    0.000 pickle.py:749(save_long)
   535500    0.041    0.000    0.041    0.000 {method 'write' of '_io.BytesIO' objects}
    50002    0.039    0.000    0.039    0.000 {built-in method _locale.nl_langinfo}
    13000    0.012    0.000    0.039    0.000 pickle.py:787(save_bytes)
        2    0.000    0.000    0.038    0.019 __init__.py:3241(_call_aside)
        1    0.000    0.000    0.038    0.038 __init__.py:3258(_initialize_master_working_set)
      421    0.001    0.000    0.038    0.000 re.py:287(_compile)
      146    0.000    0.000    0.037    0.000 re.py:248(compile)
      110    0.000    0.000    0.036    0.000 sre_compile.py:759(compile)
   341698    0.036    0.000    0.036    0.000 {built-in method builtins.getattr}
   261000    0.034    0.000    0.035    0.000 _dill.py:380(get)
   352537    0.034    0.000    0.034    0.000 {method 'get' of 'dict' objects}
      196    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:849(get_code)
    81000    0.022    0.000    0.031    0.000 pickle.py:524(get)
       14    0.000    0.000    0.031    0.002 __init__.py:612(add_entry)
  620/596    0.008    0.000    0.030    0.000 {built-in method builtins.__build_class__}
      316    0.001    0.000    0.030    0.000 overrides.py:166(decorator)
      168    0.000    0.000    0.030    0.000 __init__.py:2039(find_on_path)
    70000    0.017    0.000    0.029    0.000 __init__.py:1424(info)
   343000    0.027    0.000    0.027    0.000 {method 'tell' of '_io.BytesIO' objects}
    35500    0.017    0.000    0.027    0.000 _dill.py:1489(is_dill)
326361/325237    0.026    0.000    0.026    0.000 {built-in method builtins.len}
   230000    0.025    0.000    0.025    0.000 {built-in method _struct.pack}
     1500    0.006    0.000    0.025    0.000 _dill.py:1283(<listcomp>)
        1    0.000    0.000    0.025    0.025 requirements.py:4(<module>)
   342000    0.025    0.000    0.025    0.000 pickle.py:603(persistent_id)
      110    0.000    0.000    0.023    0.000 sre_parse.py:937(parse)
  409/110    0.001    0.000    0.023    0.000 sre_parse.py:435(_parse_sub)
    50000    0.022    0.000    0.022    0.000 util.py:271(plot_surface)
  572/115    0.008    0.000    0.022    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.020    0.020 multiarray.py:1(<module>)
      312    0.001    0.000    0.019    0.000 __init__.py:2126(distributions_from_metadata)
      196    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
      316    0.019    0.000    0.019    0.000 {built-in method builtins.compile}
      196    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
   162000    0.018    0.000    0.018    0.000 pickle.py:512(put)
    50000    0.018    0.000    0.018    0.000 fromnumeric.py:74(<dictcomp>)
      255    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.000    0.000    0.018    0.018 overrides.py:1(<module>)
      820    0.005    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      156    0.001    0.000    0.016    0.000 __init__.py:2585(from_location)
     6023    0.011    0.000    0.016    0.000 posixpath.py:334(normpath)
        1    0.000    0.000    0.016    0.016 __init__.py:570(_build_master)
        1    0.000    0.000    0.016    0.016 __init__.py:557(__init__)
      251    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
  242/239    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      251    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
    97253    0.015    0.000    0.015    0.000 {built-in method builtins.isinstance}
   100000    0.015    0.000    0.015    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.015    0.015 pyparsing.py:27(<module>)
    50000    0.014    0.000    0.014    0.000 codecs.py:186(__init__)
        1    0.000    0.000    0.014    0.014 index_tricks.py:1(<module>)
    23500    0.006    0.000    0.013    0.000 pickle.py:738(save_none)
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
      110    0.000    0.000    0.012    0.000 sre_compile.py:598(_code)
     8500    0.004    0.000    0.012    0.000 _dill.py:833(_locate_function)
    70000    0.011    0.000    0.011    0.000 __init__.py:1677(isEnabledFor)
      500    0.000    0.000    0.011    0.000 pickle.py:922(save_list)
    81074    0.011    0.000    0.011    0.000 {method 'encode' of 'str' objects}
      120    0.000    0.000    0.011    0.000 __init__.py:2989(_reload_version)
      120    0.000    0.000    0.011    0.000 __init__.py:2777(_get_version)
      120    0.000    0.000    0.010    0.000 __init__.py:2555(_version_from_file)
    41/39    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
    41/39    0.008    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.010    0.010 py3k.py:1(<module>)
      500    0.001    0.000    0.010    0.000 pickle.py:935(_batch_appends)
       26    0.000    0.000    0.010    0.000 pyparsing.py:3294(__init__)
  991/110    0.004    0.000    0.010    0.000 sre_compile.py:71(_compile)
57771/57766    0.009    0.000    0.009    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.009    0.009 parser.py:5(<module>)
      562    0.000    0.000    0.009    0.000 __init__.py:2772(_get_metadata)
        1    0.000    0.000    0.009    0.009 feedparser.py:5(<module>)
       17    0.000    0.000    0.009    0.001 {built-in method builtins.sorted}
       12    0.000    0.000    0.009    0.001 __init__.py:2013(_by_version_descending)
        1    0.000    0.000    0.009    0.009 __init__.py:10(<module>)
     2500    0.003    0.000    0.008    0.000 _dill.py:819(_import_module)
        2    0.000    0.000    0.008    0.004 shape_base.py:1(<module>)
      136    0.000    0.000    0.008    0.000 {built-in method builtins.next}
      295    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:969(get_data)
        1    0.000    0.000    0.008    0.008 _internal.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _policybase.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:7(<module>)
    50000    0.007    0.000    0.007    0.000 fromnumeric.py:2087(_sum_dispatcher)
       79    0.000    0.000    0.007    0.000 __init__.py:3284(<genexpr>)
    59272    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
       78    0.000    0.000    0.007    0.000 __init__.py:2783(activate)
        1    0.000    0.000    0.007    0.007 _dill.py:8(<module>)
      500    0.001    0.000    0.007    0.000 pickle.py:212(end_framing)
        1    0.000    0.000    0.007    0.007 defmatrix.py:1(<module>)
      156    0.000    0.000    0.006    0.000 __init__.py:2028(_by_version)
        1    0.000    0.000    0.006    0.006 specifiers.py:4(<module>)
        1    0.000    0.000    0.006    0.006 pyparsing.py:6398(pyparsing_common)
    50000    0.006    0.000    0.006    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     4331    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      863    0.003    0.000    0.006    0.000 version.py:271(__init__)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
      156    0.000    0.000    0.006    0.000 __init__.py:2034(<listcomp>)
    36518    0.006    0.000    0.006    0.000 {method 'mro' of 'type' objects}
      587    0.000    0.000    0.006    0.000 version.py:48(parse)
     1947    0.006    0.000    0.006    0.000 {built-in method posix.stat}
    28102    0.006    0.000    0.006    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
      276    0.000    0.000    0.005    0.000 __init__.py:1327(safe_version)
        1    0.000    0.000    0.005    0.005 defchararray.py:1(<module>)
    12778    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
      157    0.000    0.000    0.005    0.000 __init__.py:2193(_handle_ns)
      286    0.001    0.000    0.005    0.000 overrides.py:72(verify_matching_signatures)
        1    0.000    0.000    0.005    0.005 specifiers.py:327(Specifier)
        1    0.000    0.000    0.005    0.005 platform.py:3(<module>)
    49999    0.005    0.000    0.005    0.000 codecs.py:214(setstate)
     1556    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
    40/29    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1107(exec_module)
       78    0.000    0.000    0.005    0.000 __init__.py:2296(fixup_namespace_packages)
    40/29    0.001    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
     1500    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:269(_module_repr)
        1    0.000    0.000    0.005    0.005 linalg.py:1(<module>)
        2    0.000    0.000    0.005    0.002 function_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 financial.py:1(<module>)
       55    0.002    0.000    0.005    0.000 __init__.py:313(namedtuple)
     1500    0.004    0.000    0.004    0.000 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.004    0.004 pathlib.py:1(<module>)
      241    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 utils.py:5(<module>)
     3500    0.003    0.000    0.004    0.000 pickle.py:322(_getattribute)
      156    0.000    0.000    0.004    0.000 __init__.py:2572(__init__)
        1    0.000    0.000    0.004    0.004 npyio.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _pslinux.py:5(<module>)
      616    0.001    0.000    0.003    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.003    0.003 decimal.py:2(<module>)
      378    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      400    0.003    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.003    0.003 scimath.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
    23793    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      295    0.003    0.000    0.003    0.000 {built-in method io.open_code}
13717/13707    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
    14375    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.003    0.003 inspect.py:1(<module>)
